Company,Region ID,Tag ID,Grade ID,Variety ID,Commodity ID,First Receive Date,Warehouse Location,Room/Row ID,Commodity ID.1,Size ID,Grade ID.1,Style ID,Method ID,On Hand Quantity
"KINGS RIVER PACKING, LP",USA,8618938,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618939,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618940,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618946,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618947,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618948,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618949,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618959,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618960,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618961,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618962,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618993,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618994,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618995,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618996,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619075,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619092,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619160,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619208,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8619224,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
