DateTime,TargetWeight(oz)-B1,Weight/Product(oz)-B1,Products/min-B1,TargetWeight(oz)-B2,Weight/Product(oz)-B2,Products/min-B2,TargetWeight(oz)-B3,Weight/Product(oz)-B3,Products/min-B3,TargetWeight(oz)-A3,Weight/Product(oz)-A3,Products/min-A3,TargetWeight(oz)-B4,Weight/Product(oz)-B4,Products/min-B4,TargetWeight(oz)-A1,Weight/Product(oz)-A1,Products/min-A1,TargetWeight(oz)-A4,Weight/Product(oz)-A4,Products/min-A4,TargetWeight(oz)-A2,Weight/Product(oz)-A2,Products/min-A2
42:00.0,0,0,0,0,0,0,42.8637,49.3835,30,0,0,0,0,0,0,13.6275,80.7774,1,83.5229,81.1301,49,0,0,0
48:00.0,0,0,0,0,0,0,52.5406,49.3835,50,0,0,0,0,0,0,0,0,0,84.146,81.1301,44,0,0,0
54:00.0,0,0,0,0,0,0,51.9879,49.3835,56,0,0,0,0,0,0,0,0,0,83.9755,81.1301,54,0,0,0
00:00.0,0,0,0,0,0,0,17.6252,49.3835,5,0,0,0,0,0,0,84.0108,80.7774,43,69.866,81.1301,29,0,0,0
06:00.0,0,0,0,0,0,0,51.5882,49.3835,47,0,0,0,0,0,0,84.44,80.7774,53,0,0,0,0,0,0
12:00.0,0,0,0,0,0,0,34.786,49.3835,9,0,0,0,0,0,0,27.8899,80.7774,14,27.984,81.1301,1,0,0,0
18:00.0,0,0,0,0,0,0,44.504,49.3835,27,0,0,0,0,0,0,0,0,0,70.8948,81.1301,16,0,0,0
24:00.0,0,0,0,0,0,0,52.3818,49.3835,33,0,0,0,0,0,0,0,0,0,84.7751,81.1301,21,0,0,0
30:00.0,0,0,0,0,0,0,51.0297,49.3835,42,0,0,0,0,0,0,0,0,0,83.9462,81.1301,50,0,0,0
36:00.0,0,0,0,0,0,0,51.647,49.3835,44,0,0,0,0,0,0,70.4186,80.7774,35,41.5939,81.1301,19,0,0,0
42:00.0,0,0,0,0,0,0,51.4236,49.3835,43,0,0,0,0,0,0,85.5805,80.7774,55,0,0,0,0,0,0
48:00.0,0,0,0,0,0,0,51.5882,49.3835,52,0,0,0,0,0,0,57.1967,80.7774,31,0,0,0,0,0,0
54:00.0,0,0,0,0,0,0,51.4353,49.3835,47,0,0,0,0,0,0,28.5014,80.7774,10,0,0,0,53.4812,49.7363,49
00:00.0,0,0,0,0,0,0,51.647,49.3835,48,0,0,0,0,0,0,85.9156,80.7774,59,0,0,0,54.7452,49.7363,58
06:00.0,0,0,0,0,0,0,52.0291,49.3835,42,0,0,0,0,0,0,70.1834,80.7774,24,83.1642,81.1301,39,44.7803,49.7363,35
12:00.0,0,0,0,0,0,0,54.7511,49.3835,47,0,0,0,0,0,0,0,0,0,56.2796,81.1301,30,44.6686,49.7363,24
18:00.0,0,0,0,0,0,0,52.2701,49.3835,53,0,0,0,0,0,0,0,0,0,27.596,81.1301,3,53.9221,49.7363,54
24:00.0,0,0,0,0,0,0,52.8404,49.3835,29,0,0,0,0,0,0,71.1182,80.7774,36,0,0,0,44.21,49.7363,50
30:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42:00.0,0,0,0,0,0,0,26.0028,49.3835,19,0,0,0,0,0,0,58.543,80.7774,31,0,0,0,34.8154,49.7363,28
48:00.0,0,0,0,0,0,0,51.8762,49.3835,41,0,0,0,0,0,0,42.4463,80.7774,13,83.3935,81.1301,47,0,0,0
54:00.0,0,0,0,0,0,0,51.594,49.3835,36,0,0,0,0,0,0,0,0,0,69.3721,81.1301,24,0,0,0
00:00.0,0,0,0,0,0,0,51.3354,49.3835,36,0,0,0,0,0,0,14.3153,80.7774,5,0,0,0,36.2028,49.7363,35
06:00.0,0,0,0,0,0,0,25.4031,49.3835,18,0,0,0,0,0,0,84.9044,80.7774,64,42.0113,81.1301,10,54.1279,49.7363,57
12:00.0,0,0,0,0,0,0,44.7039,49.3835,40,0,0,0,0,0,0,28.0663,80.7774,12,84.3224,81.1301,49,54.7334,49.7363,53
